ID,Predict1,Predict2
1000,2,2
1001,1,0
1002,2,2
1003,2,2
1004,2,2
1005,2,2
1006,1,1
1007,2,2
1008,2,2
1009,2,2
1010,1,1
1011,2,2
1012,2,2
1013,2,2
1014,2,2
1015,2,1
1016,2,1
1017,2,2
1018,0,2
1019,1,1
1020,2,2
1021,2,2
1022,1,0
1023,1,1
1024,2,1
1025,2,2
1026,2,1
1027,0,2
1028,1,2
1029,2,2
1030,2,2
1031,2,2
1032,2,0
1033,0,0
1034,2,2
1035,2,2
1036,2,1
1037,1,0
1038,0,0
1039,2,2
1040,2,2
1041,2,2
1042,2,2
1043,0,2
1044,2,2
1045,2,1
1046,2,2
1047,1,1
1048,0,2
1049,2,0
1050,1,2
1051,2,1
1052,2,2
1053,1,1
1054,2,2
1055,1,1
1056,1,2
1057,2,0
1058,2,1
1059,0,2
1060,0,2
1061,2,2
1062,2,1
1063,2,1
1064,2,2
1065,2,2
1066,2,0
1067,2,0
1068,2,2
1069,2,0
1070,1,2
1071,1,2
1072,2,0
1073,2,0
1074,2,2
1075,1,1
1076,0,0
1077,2,2
1078,1,1
1079,0,0
1080,2,1
1081,2,2
1082,0,1
1083,2,2
1084,1,2
1085,2,2
1086,2,2
1087,1,1
1088,2,2
1089,2,2
1090,1,1
1091,2,1
1092,0,0
1093,1,1
1094,0,0
1095,1,0
1096,2,2
1097,2,2
1098,1,1
1099,0,0
1100,2,2
1101,0,0
1102,1,1
1103,0,0
1104,0,0
1105,2,2
1106,1,1
1107,1,1
1108,2,2
1109,1,1
1110,2,2
1111,1,2
1112,2,2
1113,2,1
1114,1,1
1115,2,2
1116,1,1
1117,1,0
1118,2,0
1119,1,1
1120,1,1
1121,2,2
1122,2,2
1123,2,2
1124,0,0
1125,2,0
1126,1,1
1127,2,2
1128,2,2
1129,2,0
1130,1,2
1131,2,2
1132,1,1
1133,2,2
1134,1,2
1135,2,1
1136,1,1
1137,0,2
1138,2,2
1139,2,1
1140,1,1
1141,1,1
1142,2,2
1143,0,0
1144,2,2
1145,2,2
1146,1,1
1147,2,1
1148,2,2
1149,2,2
1150,2,0
1151,2,1
1152,2,2
1153,0,2
1154,2,0
1155,1,1
1156,2,1
1157,2,2
1158,2,2
1159,1,2
1160,2,1
1161,0,2
1162,1,1
1163,2,2
1164,2,2
1165,2,2
1166,2,2
1167,2,2
1168,1,1
1169,1,1
1170,1,2
1171,0,0
1172,2,0
1173,2,2
1174,2,2
1175,2,2
1176,2,2
1177,2,2
1178,2,2
1179,1,0
1180,2,0
1181,2,2
1182,1,1
1183,1,2
1184,2,0
1185,2,2
1186,2,2
1187,2,2
1188,0,2
1189,2,1
1190,0,1
1191,1,0
1192,2,2
1193,2,2
1194,2,2
1195,1,2
1196,2,2
1197,2,2
1198,2,2
1199,1,1
